date,station_code,period_window,year,month,dow,PM2.5,NO2,CO,NO,NOX_final,PM2.5_AB_imputed,NO2_AB_imputed,CO_AB_imputed,NO_AB_imputed,NOX_final_AB_imputed
2024-03-03 11:00:00,CE,baseline_MarJul2024,2024,3,6,51.0,,,,,False,False,False,False,False
2024-03-03 12:00:00,CE,baseline_MarJul2024,2024,3,6,69.0,,,,,False,False,False,False,False
2024-03-03 13:00:00,CE,baseline_MarJul2024,2024,3,6,66.0,,,,,False,False,False,False,False
2024-03-03 14:00:00,CE,baseline_MarJul2024,2024,3,6,49.0,,,,,False,False,False,False,False
2024-03-03 15:00:00,CE,baseline_MarJul2024,2024,3,6,37.0,,,,,False,False,False,False,False
2024-03-03 16:00:00,CE,baseline_MarJul2024,2024,3,6,32.0,,,,,False,False,False,False,False
2024-03-03 17:00:00,CE,baseline_MarJul2024,2024,3,6,30.0,,,,,False,False,False,False,False
2024-03-03 18:00:00,CE,baseline_MarJul2024,2024,3,6,30.0,,,,,False,False,False,False,False
2024-03-03 19:00:00,CE,baseline_MarJul2024,2024,3,6,29.0,,,,,False,False,False,False,False
2024-03-03 20:00:00,CE,baseline_MarJul2024,2024,3,6,28.0,,,,,False,False,False,False,False
2024-03-03 21:00:00,CE,baseline_MarJul2024,2024,3,6,27.0,,,,,False,False,False,False,False
2024-03-03 22:00:00,CE,baseline_MarJul2024,2024,3,6,27.0,,,,,False,False,False,False,False
2024-03-03 23:00:00,CE,baseline_MarJul2024,2024,3,6,25.0,,,,,False,False,False,False,False
2024-03-04 00:00:00,CE,baseline_MarJul2024,2024,3,0,28.0,,,,,False,False,False,False,False
2024-03-04 01:00:00,CE,baseline_MarJul2024,2024,3,0,31.0,,,,,False,False,False,False,False
2024-03-04 02:00:00,CE,baseline_MarJul2024,2024,3,0,28.0,,,,,False,False,False,False,False
2024-03-04 03:00:00,CE,baseline_MarJul2024,2024,3,0,29.0,,,,,False,False,False,False,False
2024-03-04 04:00:00,CE,baseline_MarJul2024,2024,3,0,41.0,,,,,False,False,False,False,False
2024-03-04 05:00:00,CE,baseline_MarJul2024,2024,3,0,46.0,,,,,False,False,False,False,False
2024-03-04 06:00:00,CE,baseline_MarJul2024,2024,3,0,41.0,,,,,False,False,False,False,False
2024-03-04 07:00:00,CE,baseline_MarJul2024,2024,3,0,41.0,,,,,False,False,False,False,False
2024-03-04 08:00:00,CE,baseline_MarJul2024,2024,3,0,43.0,,,,,False,False,False,False,False
2024-03-04 09:00:00,CE,baseline_MarJul2024,2024,3,0,42.0,,,,,False,False,False,False,False
2024-03-04 10:00:00,CE,baseline_MarJul2024,2024,3,0,50.0,,,,,False,False,False,False,False
2024-03-04 11:00:00,CE,baseline_MarJul2024,2024,3,0,62.0,,,,,False,False,False,False,False
2024-03-04 12:00:00,CE,baseline_MarJul2024,2024,3,0,89.0,,,,,False,False,False,False,False
2024-03-04 13:00:00,CE,baseline_MarJul2024,2024,3,0,75.0,,,,,False,False,False,False,False
2024-03-04 14:00:00,CE,baseline_MarJul2024,2024,3,0,62.0,,,,,False,False,False,False,False
2024-03-04 15:00:00,CE,baseline_MarJul2024,2024,3,0,47.0,,,,,False,False,False,False,False
2024-03-04 16:00:00,CE,baseline_MarJul2024,2024,3,0,39.0,,,,,False,False,False,False,False
2024-03-04 17:00:00,CE,baseline_MarJul2024,2024,3,0,34.0,,,,,False,False,False,False,False
2024-03-04 18:00:00,CE,baseline_MarJul2024,2024,3,0,34.0,,,,,False,False,False,False,False
2024-03-04 19:00:00,CE,baseline_MarJul2024,2024,3,0,33.0,,,,,False,False,False,False,False
2024-03-04 20:00:00,CE,baseline_MarJul2024,2024,3,0,33.0,,,,,False,False,False,False,False
2024-03-04 21:00:00,CE,baseline_MarJul2024,2024,3,0,34.0,,,,,False,False,False,False,False
2024-03-04 22:00:00,CE,baseline_MarJul2024,2024,3,0,33.0,,,,,False,False,False,False,False
2024-03-04 23:00:00,CE,baseline_MarJul2024,2024,3,0,34.0,,,,,False,False,False,False,False
2024-03-05 00:00:00,CE,baseline_MarJul2024,2024,3,1,32.0,,,,,False,False,False,False,False
2024-03-05 01:00:00,CE,baseline_MarJul2024,2024,3,1,32.0,,,,,False,False,False,False,False
2024-03-05 02:00:00,CE,baseline_MarJul2024,2024,3,1,24.45,,,,,True,False,False,False,False
2024-03-05 03:00:00,CE,baseline_MarJul2024,2024,3,1,34.0,,,,,False,False,False,False,False
2024-03-05 04:00:00,CE,baseline_MarJul2024,2024,3,1,35.0,,,,,False,False,False,False,False
2024-03-05 05:00:00,CE,baseline_MarJul2024,2024,3,1,35.0,,,,,False,False,False,False,False
2024-03-05 06:00:00,CE,baseline_MarJul2024,2024,3,1,46.0,,,,,False,False,False,False,False
2024-03-05 07:00:00,CE,baseline_MarJul2024,2024,3,1,53.0,,,,,False,False,False,False,False
2024-03-05 08:00:00,CE,baseline_MarJul2024,2024,3,1,44.0,,,,,False,False,False,False,False
2024-03-05 09:00:00,CE,baseline_MarJul2024,2024,3,1,42.0,,,,,False,False,False,False,False
2024-03-05 10:00:00,CE,baseline_MarJul2024,2024,3,1,56.0,,,,,False,False,False,False,False
