station_code,PM2.5,NO2,CO,NO,NOX
CE,13.911022576361221,6.378652058432935,3.0295484727755646,10.397991367861886,23.597277556440904
NE,7.098688579017265,23.57445219123506,12.39624833997344,15.770252324037184,41.13753320053121
NE2,27.332337317397077,27.691318061088978,16.143758300132802,27.483814741035857,44.2687583001328
NO,41.3699369189907,25.46480743691899,28.869936918990703,20.899734395750333,38.85707171314741
NO2,14.952689243027889,15.91550464807437,2.927871845949535,11.174053784860558,27.741118857901725
SE,13.089309428950862,23.462400398406373,9.476676626826029,26.004316069057104,41.44878818061089
SO,10.605494687915007,12.026892430278885,14.348854581673306,9.9269588313413,30.776892430278885
