year,month_num,delta_vs2020,pollutant
2024,1,38.13981154537949,NOX_final
2025,1,35.30561155913979,NOX_final
2024,2,33.34163074712644,NOX_final
2025,2,38.49885057471265,NOX_final
2024,3,23.80564516129032,NOX_final
2025,3,29.515255376344086,NOX_final
2024,4,17.94408487615965,NOX_final
2025,4,18.662834876159646,NOX_final
2024,5,13.215356182795702,NOX_final
2025,5,14.417393040427314,NOX_final
2024,6,12.070138888888888,NOX_final
2025,6,6.9594097222222215,NOX_final
2024,7,13.462290563270209,NOX_final
2025,7,,NOX_final
