station_code,pollutant,share_1,share_2–3,share_4–6,share_7–12,share_13–24,share_25–48,share_>48
CE,CO,0.6448598130841121,0.10747663551401869,0.08878504672897196,0.04672897196261682,0.07476635514018691,0.02336448598130841,0.014018691588785047
CE,NO,0.42692828146143436,0.3051420838971583,0.15561569688768606,0.06630581867388363,0.03924221921515562,0.005412719891745603,0.0013531799729364006
CE,NO2,0.4096153846153846,0.17692307692307693,0.175,0.11730769230769231,0.08846153846153847,0.025,0.007692307692307693
CE,NOX,0.4106090373280943,0.1905697445972495,0.1807465618860511,0.10412573673870335,0.08447937131630648,0.025540275049115914,0.003929273084479371
CE,PM2.5,0.5806142034548945,0.19961612284069097,0.07869481765834933,0.04318618042226487,0.052783109404990404,0.019193857965451054,0.025911708253358926
NE,CO,0.6472727272727272,0.14181818181818182,0.08727272727272728,0.05454545454545454,0.03636363636363636,0.014545454545454545,0.01818181818181818
NE,NO,0.38287752675386444,0.13198573127229488,0.15933412604042807,0.19500594530321047,0.09512485136741974,0.022592152199762187,0.013079667063020214
NE,NO2,0.7181818181818181,0.09545454545454546,0.08636363636363636,0.05,0.031818181818181815,0.00909090909090909,0.00909090909090909
NE,NOX,0.7161016949152542,0.11016949152542373,0.08050847457627118,0.046610169491525424,0.029661016949152543,0.00847457627118644,0.00847457627118644
NE,PM2.5,0.6768507638072856,0.20211515863689777,0.03172737955346651,0.036427732079905996,0.03525264394829612,0.010575793184488837,0.007050528789659225
NE2,CO,0.5746268656716418,0.13059701492537312,0.1044776119402985,0.06716417910447761,0.048507462686567165,0.022388059701492536,0.05223880597014925
NE2,NO,0.6026058631921825,0.16938110749185667,0.11726384364820847,0.04234527687296417,0.03257328990228013,0.013029315960912053,0.02280130293159609
NE2,NO2,0.5565749235474006,0.1620795107033639,0.1162079510703364,0.06116207951070336,0.05198776758409786,0.01529051987767584,0.03669724770642202
NE2,NOX,0.5648148148148148,0.16049382716049382,0.1111111111111111,0.05864197530864197,0.043209876543209874,0.018518518518518517,0.043209876543209874
NE2,PM2.5,0.5369030390738061,0.2691751085383502,0.12397491558128317,0.0472744814278823,0.006753497346840328,0.006271104679208876,0.00964785335262904
NO,CO,0.5552147239263804,0.15337423312883436,0.07668711656441718,0.05214723926380368,0.0950920245398773,0.027607361963190184,0.03987730061349693
NO,NO,0.476763258611263,0.2875888463641334,0.10552214324767632,0.059595407326407876,0.05084745762711865,0.01038819026790596,0.009294696555494806
NO,NO2,0.5167322834645669,0.26279527559055116,0.10236220472440945,0.040354330708661415,0.04625984251968504,0.01673228346456693,0.014763779527559055
NO,NOX,0.553213909378293,0.2465753424657534,0.07481559536354057,0.04214963119072708,0.0505795574288725,0.01791359325605901,0.014752370916754479
NO,PM2.5,0.5255230125523013,0.24769874476987447,0.12301255230125523,0.05439330543933055,0.021757322175732216,0.009205020920502092,0.018410041841004185
NO2,CO,0.6854304635761589,0.1456953642384106,0.056291390728476824,0.04304635761589404,0.052980132450331126,0.0033112582781456954,0.013245033112582781
NO2,NO,0.6810673443456162,0.22363405336721728,0.04701397712833545,0.021601016518424398,0.020330368487928845,0.0025412960609911056,0.0038119440914866584
NO2,NO2,0.5323076923076923,0.27153846153846156,0.11461538461538462,0.04923076923076923,0.021538461538461538,0.003076923076923077,0.007692307692307693
NO2,NOX,0.6556728232189973,0.23218997361477572,0.055408970976253295,0.018469656992084433,0.026385224274406333,0.00395778364116095,0.0079155672823219
NO2,PM2.5,0.5935251798561151,0.20953237410071943,0.07464028776978417,0.045863309352517985,0.044064748201438846,0.01079136690647482,0.02158273381294964
SE,CO,0.6323529411764706,0.10588235294117647,0.058823529411764705,0.05,0.08529411764705883,0.023529411764705882,0.04411764705882353
SE,NO,0.5978520286396182,0.2553699284009546,0.07159904534606205,0.029832935560859187,0.03818615751789976,0.003579952267303103,0.003579952267303103
SE,NO2,0.6495327102803738,0.2266355140186916,0.0630841121495327,0.030373831775700934,0.018691588785046728,0.004672897196261682,0.007009345794392523
SE,NOX,0.6545064377682404,0.23390557939914164,0.055793991416309016,0.027896995708154508,0.017167381974248927,0.004291845493562232,0.006437768240343348
SE,PM2.5,0.6171376481312671,0.17593436645396535,0.07930720145852324,0.044667274384685506,0.05013673655423884,0.013673655423883319,0.019143117593436645
SO,CO,0.6594594594594595,0.1,0.07027027027027027,0.032432432432432434,0.08378378378378379,0.02702702702702703,0.02702702702702703
SO,NO,0.621550591327201,0.19579500657030224,0.05781865965834428,0.030223390275952694,0.045992115637319315,0.026281208935611037,0.022339027595269383
SO,NO2,0.5634408602150538,0.10752688172043011,0.06881720430107527,0.06451612903225806,0.09462365591397849,0.05161290322580645,0.04946236559139785
SO,NOX,0.6456521739130435,0.1108695652173913,0.06304347826086956,0.041304347826086954,0.06086956521739131,0.03695652173913044,0.041304347826086954
SO,PM2.5,0.6705357142857142,0.17946428571428572,0.05803571428571429,0.03482142857142857,0.03482142857142857,0.010714285714285714,0.011607142857142858
