station_code,pollutant,period,rows,missing_pct,n_gaps_short,n_gaps_med,n_gaps_long,max_gap_h,mean_gap_h,coverage,decision,method,coverage_bucket,safeguards,neighbors_hint
CE,NO2,current,21888.0,2.9696637426900585,98.0,29.0,0.0,37.0,5.118110236220472,97.03033625730994,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|SE|NE
NE,NO2,pandemic,17544.0,58.01983584131328,44.0,3.0,1.0,10067.0,212.0625,41.980164158686726,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|CE|NO
NE,NO2,transition,8760.0,1.6095890410958904,82.0,2.0,0.0,30.0,1.6785714285714286,98.39041095890413,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|NE2|NO
NE,NO2,current,21888.0,4.756030701754386,72.0,15.0,1.0,720.0,11.829545454545457,95.24396929824562,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE2|SE|CE
NE2,NO2,pandemic,17544.0,58.60693114455084,74.0,14.0,9.0,5235.0,106.0,41.39306885544916,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",
NE2,NO2,transition,8760.0,2.4543378995433787,92.0,7.0,0.0,11.0,2.171717171717172,97.54566210045662,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE|NO2|NO
NE2,NO2,current,21888.0,13.011695906432749,107.0,21.0,3.0,2184.0,21.740458015267176,86.98830409356725,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE
NO,NO2,pandemic,17544.0,47.04172366621067,385.0,22.0,3.0,5045.0,20.129268292682926,52.95827633378933,exclude,none,<60%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SE|NE|SO
NO,NO2,transition,8760.0,13.91552511415525,314.0,40.0,0.0,42.0,3.443502824858757,86.08447488584476,include_conservative,A+B,≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE|SO|CE
NO,NO2,current,21888.0,12.78782894736842,196.0,43.0,12.0,525.0,11.151394422310757,87.21217105263158,include_with_longs,A/B (leave long NA),≥80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",NE|CE|SO
NO2,NO2,pandemic,17544.0,23.35271317829457,860.0,80.0,8.0,687.0,4.321729957805907,76.64728682170542,include_conservative,A+B,60–80%,"clamp [0,P99.9]; enforce NOX≥NO, NOX≥NO2",SO|NO|NE
